DSEX,Date,Open,High,Low,Close,64248935
DSEX,01/28/2013,4055.91,4090.47,4171.41,4197.44,64248935
DSEX,01/29/2013,4090.47,4154.61,4090.47,4154.61,98012419
DSEX,01/30/2013,4154.61,4188.74,4126.75,4126.75,78410923
DSEX,01/31/2013,4126.75,4149.54,4119.95,4136.30,80993249
DSEX,02/03/2013,4136.30,4174.59,4125.01,4163.82,87408317
DSEX,02/04/2013,4163.82,4207.52,4161.27,4164.62,91756416
DSEX,02/05/2013,4164.62,4202.36,4150.18,4191.50,67465788
DSEX,02/06/2013,4191.50,4230.84,4191.50,4201.98,66895776
DSEX,02/07/2013,4201.98,4221.27,4196.76,4199.58,84985585
DSEX,02/10/2013,4199.58,4259.57,4199.58,4248.44,106828828
DSEX,02/11/2013,4248.44,4295.81,4248.44,4271.15,113042853
DSEX,02/12/2013,4271.15,4300.44,4240.43,4240.43,110653005
DSEX,02/13/2013,4240.43,4263.10,4232.94,4253.45,113622705
DSEX,02/14/2013,4253.45,4316.60,4253.45,4304.97,142177367
DSEX,02/17/2013,4304.97,4344.20,4286.32,4286.32,107595691
DSEX,02/18/2013,4286.32,4310.93,4264.35,4265.09,125084596
DSEX,02/19/2013,4265.09,4277.00,4210.26,4210.26,128826067
DSEX,02/20/2013,4210.26,4219.13,4154.43,4155.45,98186449
DSEX,02/24/2013,4155.45,4155.45,4057.42,4058.65,70619021
DSEX,02/25/2013,4058.65,4111.00,4009.64,4010.27,73164666
DSEX,02/26/2013,4010.27,4079.79,4010.27,4068.40,63799206
DSEX,02/27/2013,4068.40,4071.90,3952.74,3956.89,80706691
DSEX,02/28/2013,3956.89,3989.19,3925.57,3973.28,49327674
DSEX,03/03/2013,3973.28,3973.28,3760.83,3765.98,63208184
DSEX,03/04/2013,3765.98,3925.42,3765.98,3894.59,58694019
DSEX,03/05/2013,3894.59,3954.76,3879.68,3884.50,52995187
DSEX,03/06/2013,3884.50,3897.12,3853.51,3854.65,58319037
DSEX,03/07/2013,3854.65,3854.65,3799.46,3832.85,43911047
DSEX,03/10/2013,3832.85,3865.45,3789.81,3791.86,46780532
DSEX,03/11/2013,3791.86,3791.86,3718.01,3761.97,49355648
DSEX,03/12/2013,3761.97,3807.64,3723.29,3787.86,41184033
DSEX,03/13/2013,3787.86,3861.73,3787.58,3836.11,48099902
DSEX,03/14/2013,3836.11,3855.32,3828.98,3845.80,44016115
DSEX,03/18/2013,3845.80,3871.96,3820.48,3862.70,38618657
DSEX,03/19/2013,3862.70,3908.41,3862.70,3894.61,43735733
DSEX,03/20/2013,3894.61,3896.63,3852.22,3856.61,43070754
DSEX,03/24/2013,3856.61,3867.22,3774.71,3774.71,44969689
DSEX,03/25/2013,3774.71,3776.94,3721.94,3725.60,41823805
DSEX,03/27/2013,3725.60,3725.60,3636.68,3642.70,40918753
DSEX,03/28/2013,3642.70,3692.36,3642.70,3681.65,31203006
DSEX,03/31/2013,3681.65,3681.65,3587.02,3590.04,41154685
DSEX,04/01/2013,3590.04,3590.04,3458.10,3458.10,44850421
DSEX,04/02/2013,3458.10,3519.69,3449.20,3503.14,36476540
DSEX,04/03/2013,3503.14,3551.86,3503.14,3526.13,44114801
DSEX,04/04/2013,3526.13,3526.13,3487.21,3507.85,45133123
DSEX,04/07/2013,3507.85,3509.86,3488.18,3493.27,40166093
DSEX,04/08/2013,3493.27,3525.14,3474.75,3515.09,57454003
DSEX,04/09/2013,3515.09,3611.19,3515.09,3594.42,62594765
DSEX,04/10/2013,3594.42,3658.89,3594.42,3611.30,74780904
DSEX,04/11/2013,3611.30,3611.40,3577.81,3590.02,52504908
DSEX,04/15/2013,3590.02,3652.48,3590.02,3636.76,64664385
DSEX,04/16/2013,3636.76,3639.78,3571.49,3571.49,65776119
DSEX,04/17/2013,3571.49,3588.12,3554.99,3572.68,55209497
DSEX,04/18/2013,3572.68,3589.82,3569.55,3571.26,70075498
DSEX,04/21/2013,3571.26,3586.99,3525.14,3525.14,48082897
DSEX,04/22/2013,3525.14,3532.98,3513.63,3515.96,42466580
DSEX,04/23/2013,3515.96,3530.76,3515.26,3515.26,39195165
DSEX,04/24/2013,3515.26,3524.68,3499.81,3506.56,40840157
DSEX,04/25/2013,3506.56,3526.70,3502.71,3503.56,35766773
DSEX,04/28/2013,3503.56,3503.56,3446.49,3454.52,35678975
DSEX,04/29/2013,3454.52,3460.80,3431.85,3444.80,41282958
DSEX,04/30/2013,3444.80,3452.00,3426.65,3438.89,43890352
DSEX,05/02/2013,3438.89,3475.46,3402.99,3468.18,57230160
DSEX,05/05/2013,3468.18,3484.94,3451.42,3468.56,47679820
DSEX,05/06/2013,3468.56,3480.57,3456.85,3472.17,29047913
DSEX,05/07/2013,3472.17,3538.69,3472.17,3526.60,52509615
DSEX,05/08/2013,3526.60,3571.82,3516.65,3516.91,65886633
DSEX,05/09/2013,3516.91,3576.05,3505.12,3559.25,56178438
DSEX,05/12/2013,3559.25,3656.08,3559.25,3639.80,87006426
DSEX,05/13/2013,3639.80,3695.70,3631.22,3679.83,90764312
DSEX,05/14/2013,3679.83,3781.46,3679.83,3771.05,135820488
DSEX,05/15/2013,3771.06,3791.18,3715.93,3715.93,116856209
DSEX,05/16/2013,3715.93,3789.11,3715.18,3773.78,124993528
DSEX,05/19/2013,3773.78,3887.48,3773.78,3873.62,156864272
DSEX,05/20/2013,3873.62,3948.83,3873.62,3902.39,146951083
DSEX,05/21/2013,3902.39,3922.68,3824.73,3832.62,121731345
DSEX,05/22/2013,3832.62,3845.17,3760.42,3762.08,94238427
DSEX,05/26/2013,3762.08,3786.49,3683.98,3683.98,57422024
DSEX,05/27/2013,3683.98,3771.34,3683.98,3748.22,57525884
DSEX,05/28/2013,3748.22,3799.63,3748.22,3757.99,79540389
DSEX,05/29/2013,3757.99,3864.90,3757.99,3855.14,110991500
DSEX,05/30/2013,3855.14,3929.75,3855.14,3878.07,135775478
DSEX,06/02/2013,3878.07,3956.79,3878.07,3943.24,148074928
DSEX,06/03/2013,3943.24,3990.93,3933.31,3974.97,154994957
DSEX,06/04/2013,3974.97,4010.40,3973.49,3974.48,160676293
DSEX,06/05/2013,3974.48,4062.67,3964.51,4048.03,164767743
DSEX,06/06/2013,4048.03,4087.52,4021.49,4028.12,150569746
DSEX,06/09/2013,4028.12,4028.12,3882.81,3882.81,119691460
DSEX,06/10/2013,3882.81,4021.56,3882.81,4006.83,120477285
DSEX,06/11/2013,4006.83,4082.73,4006.83,4062.74,157720412
DSEX,06/12/2013,4062.74,4128.42,4062.74,4103.39,197211529
DSEX,06/13/2013,4103.39,4124.87,4079.72,4079.80,155403412
DSEX,06/16/2013,4079.80,4193.83,4079.80,4179.67,190639980
DSEX,06/17/2013,4179.67,4250.78,4165.70,4165.70,216902517
DSEX,06/18/2013,4165.70,4196.48,4151.84,4184.46,230011931
DSEX,06/19/2013,4184.46,4286.31,4184.46,4259.21,238292208
DSEX,06/20/2013,4259.21,4289.16,4213.17,4213.92,163378117
